"67";"G5b";"Lavoro fisico e manuale";"Risultati del lavoro ottenuti utilizzando principalmente manualit&agrave; e forza fisica"
"68";"G6b";"Lavoro tecnico e complesso";"Risultati scaturiti da attivit&agrave; di lavoro caratterizzate da componenti tecniche e da significativi livelli complessit&agrave; "
"69";"G7b";"Comunicazione/interazione";"Attivit&agrave; lavorative caratterizzate da una significativa componente di comunicazione e interazione con altre persone"
"70";"G8b";"Coordinare/sviluppare/gestire/consigliare";"Attivit&agrave; lavorative caratterizzate da significativi aspetti di coordinamento, di gestione e di organizzazione del lavoro con il coinvolgimento di altre persone"
"71";"G9b";"Amministrazione";"Attivit&agrave; lavorative caratterizzate da significativi aspetti di gestione  amministrativa  e del personale"
"72";"H1";"Relazioni/interazioni  interpersonali";"Relazioni di ruolo che si stabiliscono sul lavoro in termini di interazione con altri colleghi; responsabilit&agrave; della salute e della sicurezza del personale; risultati del lavoro; frequenza con cui si verificano situazioni di conflitto o di tensione  fra persone"
"73";"H2";"Condizioni fisiche del lavoro";"Ambienti e  condizioni fisiche in cui il lavoro si svolge; i rischi a cui espone il lavoro; la frequenza con cui richiede particolari posture o attivit&agrave; fisiche e/o di indossare equipaggiamenti di sicurezza"
"74";"H3";"Caratteristiche strutturali del lavoro";"Criticit&agrave; del lavoro rispetto alla possibilit&agrave; di commettere seri errori; grado di libert&agrave; nel prendere decisioni e conseguenze che esse hanno sugli altri lavoratori e sui risultati dell'impresa; livello di automazione  e di strutturazione delle attivit&agrave; lavorative; livello di competizione sul lavoro; tempi, scansioni e modalit&agrave; di programmazione e di esecuzione del lavoro"
"75";"pp1";"Prima personalit&agrave; pi&ugrave; adatta";"Prima personalit&agrave; pi&ugrave; adatta allo svolgimento della professione"
"76";"pp2";"Seconda personalit&agrave; pi&ugrave; adatta";"Seconda personalit&agrave; pi&ugrave; adatta allo svolgimento della professione"
"77";"pp3";"Terza personalit&agrave; pi&ugrave; adatta";"Terza personalit&agrave; pi&ugrave; adatta allo svolgimento della professione"
